"permit_status_numeric","land_type_numeric","defined_legal_boundary","species_count","tree_density","water_quality_numeric"
1,0,1,15,200,2
1,2,0,18,250,1
0,0,0,12,180,0
1,1,1,20,220,2
1,0,1,14,190,1
0,2,0,22,260,2
1,0,1,13,170,1
1,1,1,16,200,2
0,2,0,19,230,0
1,0,1,21,240,2
0,1,1,15,190,1
1,0,1,18,210,2
1,2,0,14,200,2
0,0,1,20,250,1
1,1,1,12,180,0
1,0,1,19,230,2
0,2,0,16,200,1
1,0,1,21,220,2
0,1,1,17,240,2
1,0,1,15,190,1
1,2,0,18,210,2
0,0,1,14,200,1
1,1,1,20,230,2
1,0,1,16,190,0
0,2,0,19,220,2
1,0,1,15,200,1
0,1,1,17,210,2
1,0,1,21,240,2
1,2,0,14,190,1
0,0,1,18,220,2
