"conservation_id","defined_legal_boundary","species_count","tree_density","water_quality_score"
"C001",1,15,200,2
"C002",0,18,250,1
"C003",0,12,180,0
"C004",1,20,220,2
"C005",1,14,190,1
"C006",0,22,260,2
"C007",1,13,170,1
"C008",1,16,200,2
"C009",0,19,230,0
"C010",1,21,240,2
"C011",1,15,190,1
"C012",1,18,210,2
"C013",0,14,200,2
"C014",1,20,250,1
"C015",1,12,180,0
"C016",1,19,230,2
"C017",0,16,200,1
"C018",1,21,220,2
"C019",1,17,240,2
"C020",1,15,190,1
"C021",0,18,210,2
"C022",1,14,200,1
"C023",1,20,230,2
"C024",1,16,190,0
"C025",0,19,220,2
"C026",1,15,200,1
"C027",1,17,210,2
"C028",1,21,240,2
"C029",0,14,190,1
"C030",1,18,220,2
