"conservation_id","total_records","compliant_records","compliance_percentage"
"C025","1","1","100.00"
"C009","1","1","100.00"
"C027","1","1","100.00"
"C016","1","1","100.00"
"C024","1","1","100.00"
"C004","1","1","100.00"
"C006","1","1","100.00"
"C030","1","1","100.00"
"C019","1","1","100.00"
"C021","1","1","100.00"
"C013","1","1","100.00"
"C007","1","1","100.00"
"C012","1","1","100.00"
"C018","1","1","100.00"
"C001","1","1","100.00"
"C010","1","1","100.00"
"C022","1","1","100.00"
"C015","1","1","100.00"
"C003","1","1","100.00"
"C028","1","1","100.00"
"C014","1","0","0.00"
"C029","1","0","0.00"
"C017","1","0","0.00"
"C023","1","0","0.00"
"C002","1","0","0.00"
"C005","1","0","0.00"
"C026","1","0","0.00"
"C011","1","0","0.00"
"C008","1","0","0.00"
"C020","1","0","0.00"
