"conservation_id","location","activity_type","frequency","avg_participants","total_benefit"
"C001","Aceh Jaya","Workshop","1","10.0000000000000000","5000000"
"C002","Takalar","Consultation","1","8.0000000000000000","7500000"
"C003","Tanah Laut","Training","1","12.0000000000000000","3000000"
"C004","Lampung Barat","Workshop","1","15.0000000000000000","6000000"
"C005","Bengkulu Utara","Consultation","1","9.0000000000000000","4500000"
"C006","Labuhan Batu","Training","1","11.0000000000000000","8000000"
"C007","Minahasa Selatan","Workshop","1","10.0000000000000000","3500000"
"C008","Seram Bagian Barat","Consultation","1","8.0000000000000000","4000000"
"C009","Merauke","Training","1","13.0000000000000000","5500000"
"C010","Kubu Raya","Workshop","1","12.0000000000000000","7000000"
"C011","Pontianak","Consultation","1","10.0000000000000000","4500000"
"C012","Karawang","Training","1","11.0000000000000000","6000000"
"C013","Banyuwangi","Workshop","1","14.0000000000000000","5000000"
"C014","Sampit","Consultation","1","9.0000000000000000","7500000"
"C015","Sampang","Training","1","12.0000000000000000","3000000"
"C016","Pekalongan","Workshop","1","10.0000000000000000","6500000"
"C017","Serang","Consultation","1","8.0000000000000000","4000000"
"C018","Tegal","Training","1","11.0000000000000000","5500000"
"C019","Jember","Workshop","1","13.0000000000000000","7000000"
"C020","Blitar","Consultation","1","10.0000000000000000","4500000"
