"conservation_id","location","total_benefit","avg_benefit_per_activity","total_participants","benefit_per_participant"
"C002","Takalar","7500000","7500000.000000000000","8","937500"
"C014","Sampit","7500000","7500000.000000000000","9","833333"
"C006","Labuhan Batu","8000000","8000000.000000000000","11","727272"
"C016","Pekalongan","6500000","6500000.000000000000","10","650000"
"C010","Kubu Raya","7000000","7000000.000000000000","12","583333"
"C012","Karawang","6000000","6000000.000000000000","11","545454"
"C019","Jember","7000000","7000000.000000000000","13","538461"
"C005","Bengkulu Utara","4500000","4500000.000000000000","9","500000"
"C017","Serang","4000000","4000000.000000000000","8","500000"
"C018","Tegal","5500000","5500000.000000000000","11","500000"
"C001","Aceh Jaya","5000000","5000000.000000000000","10","500000"
"C008","Seram Bagian Barat","4000000","4000000.000000000000","8","500000"
"C020","Blitar","4500000","4500000.000000000000","10","450000"
"C011","Pontianak","4500000","4500000.000000000000","10","450000"
"C009","Merauke","5500000","5500000.000000000000","13","423076"
"C004","Lampung Barat","6000000","6000000.000000000000","15","400000"
"C013","Banyuwangi","5000000","5000000.000000000000","14","357142"
"C007","Minahasa Selatan","3500000","3500000.000000000000","10","350000"
"C003","Tanah Laut","3000000","3000000.000000000000","12","250000"
"C015","Sampang","3000000","3000000.000000000000","12","250000"
