"conservation_id","location","total_community_members","total_participants","participation_percentage","participation_rank"
"C004","Lampung Barat","20","300","1500.0000000000000000","1"
"C013","Banyuwangi","20","280","1400.0000000000000000","2"
"C019","Jember","20","260","1300.0000000000000000","3"
"C009","Merauke","20","260","1300.0000000000000000","3"
"C003","Tanah Laut","20","240","1200.0000000000000000","5"
"C015","Sampang","20","240","1200.0000000000000000","5"
"C010","Kubu Raya","20","240","1200.0000000000000000","5"
"C012","Karawang","20","220","1100.0000000000000000","8"
"C006","Labuhan Batu","20","220","1100.0000000000000000","8"
"C018","Tegal","20","220","1100.0000000000000000","8"
"C020","Blitar","20","200","1000.0000000000000000","11"
"C007","Minahasa Selatan","20","200","1000.0000000000000000","11"
"C011","Pontianak","20","200","1000.0000000000000000","11"
"C016","Pekalongan","20","200","1000.0000000000000000","11"
"C001","Aceh Jaya","20","200","1000.0000000000000000","11"
"C005","Bengkulu Utara","20","180","900.0000000000000000","16"
"C014","Sampit","20","180","900.0000000000000000","16"
"C002","Takalar","20","160","800.0000000000000000","18"
"C017","Serang","20","160","800.0000000000000000","18"
"C008","Seram Bagian Barat","20","160","800.0000000000000000","18"
