"conservation_id","location","risiko_izin","risiko_masyarakat","risiko_ekologis","total_risiko"
"C017","Serang",30,40,0,70
"C003","Tanah Laut",30,0,30,60
"C009","Merauke",30,0,30,60
"C002","Takalar",0,40,0,40
"C015","Sampang",0,0,30,30
"C006","Labuhan Batu",30,0,0,30
"C011","Pontianak",0,0,0,0
"C012","Karawang",0,0,0,0
"C013","Banyuwangi",0,0,0,0
"C014","Sampit",0,0,0,0
"C016","Pekalongan",0,0,0,0
"C018","Tegal",0,0,0,0
"C019","Jember",0,0,0,0
"C001","Aceh Jaya",0,0,0,0
"C020","Blitar",0,0,0,0
"C004","Lampung Barat",0,0,0,0
"C005","Bengkulu Utara",0,0,0,0
"C007","Minahasa Selatan",0,0,0,0
"C008","Seram Bagian Barat",0,0,0,0
"C010","Kubu Raya",0,0,0,0
